,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"St. John's, Newfoundland and Labrador",171859,171859,172297.4,172735.8,173174.2,173612.6,174051,173824.4,173597.8,173371.2,173144.6,172918,174557,176196,177835,179474,181113,184283.6,187454.2,190624.8,193795.4,196966,198763.8,200561.6,202359.4,204157.2,205955,207279.8,208604.6,209929.4,211254.2,212579,212579
"Charlottetown, Prince Edward Island",15396,15396,18823,22250,25677,29104,32531,32473.8,32416.6,32359.4,32302.2,32245,32230.8,32216.6,32202.4,32188.2,32174,32651.6,33129.2,33606.8,34084.4,34562,41514.6,48467.2,55419.8,62372.4,69325,71231.6,73138.2,75044.8,76951.4,78858,78858
"Halifax, Nova Scotia",320501,320501,324994,329487,333980,338473,342966,346209.4,349452.8,352696.2,355939.6,359183,361918,364653,367388,370123,372858,376352,379846,383340,386834,390328,392940.4,395552.8,398165.2,400777.6,403390,415852.6,428315.2,440777.8,453240.4,465703,465703
"Saint John, New Brunswick",124981,124981,125125.8,125270.6,125415.4,125560.2,125705,125099.6,124494.2,123888.8,123283.4,122678,122620.2,122562.4,122504.6,122446.8,122389,123463.4,124537.8,125612.2,126686.6,127761,127449.2,127137.4,126825.6,126513.8,126202,127084.2,127966.4,128848.6,129730.8,130613,130613
"Québec, Quebec",645550,645550,652247.2,658944.4,665641.6,672338.8,679036,681210.8,683385.6,685560.4,687735.2,689910,695758.6,701607.2,707455.8,713304.4,719153,728463.6,737774.2,747084.8,756395.4,765706,772624,779542,786460,793378,800296,808099,815902,823705,831508,839311,839311
"Montréal, Quebec",3127242,3127242,3171742,3216242,3260742,3305242,3349742,3369991.2,3390240.4,3410489.6,3430738.8,3450988,3487901.6,3524815.2,3561728.8,3598642.4,3635556,3673289,3711022,3748755,3786488,3824221,3879162.2,3934103.4,3989044.6,4043985.8,4098927,4137488,4176049,4214610,4253171,4291732,4291732
"Ottawa, Ontario",920857,920857,937684.6,954512.2,971339.8,988167.4,1004995,1018044.8,1031094.6,1044144.4,1057194.2,1070244,1082921.8,1095599.6,1108277.4,1120955.2,1133633,1154171.2,1174709.4,1195247.6,1215785.8,1236324,1253815.8,1271307.6,1288799.4,1306291.2,1323783,1356687.8,1389592.6,1422497.4,1455402.2,1488307,1488307
"Toronto, Ontario",3893046,3893046,3967188.2,4041330.4,4115472.6,4189614.8,4263757,4347585,4431413,4515241,4599069,4682897,4768947.4,4854997.8,4941048.2,5027098.6,5113149,5207132,5301115,5395098,5489081,5583064,5652059.2,5721054.4,5790049.6,5859044.8,5928040,5982877,6037714,6092551,6147388,6202225,6202225
"Thunder Bay, Ontario",124427,124427,124870.2,125313.4,125756.6,126199.8,126643,125711.6,124780.2,123848.8,122917.4,121986,122170.2,122354.4,122538.6,122722.8,122907,122644.8,122382.6,122120.4,121858.2,121596,121601,121606,121611,121616,121621,121948.4,122275.8,122603.2,122930.6,123258,123258
"Winnipeg, Manitoba",652354,652354,656305,660256,664207,668158,672109,673006,673903,674800,675697,676594,680208.8,683823.6,687438.4,691053.2,694668,701738,708808,715878,722948,730018,739712.2,749406.4,759100.6,768794.8,778489,789726.8,800964.6,812202.4,823440.2,834678,834678
"Regina, Saskatchewan",191692,191692,192084,192476,192868,193260,193652,193481.6,193311.2,193140.8,192970.4,192800,193234.2,193668.4,194102.6,194536.8,194971,198088,201205,204322,207439,210556,215741,220926,226111,231296,236481,239028.2,241575.4,244122.6,246669.8,249217,249217
"Saskatoon, Saskatchewan",210023,210023,211829.6,213636.2,215442.8,217249.4,219056,220430.2,221804.4,223178.6,224552.8,225927,227526.2,229125.4,230724.6,232323.8,233923,239258.4,244593.8,249929.2,255264.6,260600,267499,274398,281297,288196,295095,299572,304049,308526,313003,317480,317480
"Edmonton, Alberta",839924,839924,844458.6,848993.2,853527.8,858062.4,862597,877646.6,892696.2,907745.8,922795.4,937845,957265,976685,996105,1015525,1034945,1059929.8,1084914.6,1109899.4,1134884.2,1159869,1192180.4,1224491.8,1256803.2,1289114.6,1321426,1340764.4,1360102.8,1379441.2,1398779.6,1418118,1418118
"Calgary, Alberta",754033,754033,767670.6,781308.2,794945.8,808583.4,822221,848084,873947,899810,925673,951536,977090.8,1002645.6,1028200.4,1053755.2,1079310,1106415.8,1133521.6,1160627.4,1187733.2,1214839,1250393,1285947,1321501,1357055,1392609,1410448.4,1428287.8,1446127.2,1463966.6,1481806,1481806
"Vancouver, British Columbia",1602502,1602502,1648334.6,1694167.2,1739999.8,1785832.4,1831665,1862725,1893785,1924845,1955905,1986965,2012888.2,2038811.4,2064734.6,2090657.8,2116581,2155930.4,2195279.8,2234629.2,2273978.6,2313328,2343348.6,2373369.2,2403389.8,2433410.4,2463431,2499309.8,2535188.6,2571067.4,2606946.2,2642825,2642825
"Victoria, British Columbia",287897,287897,291175,294453,297731,301009,304287,305810,307333,308856,310379,311902,315539.2,319176.4,322813.6,326450.8,330088,332993.4,335898.8,338804.2,341709.6,344615,349246,353877,358508,363139,367770,373663.4,379556.8,385450.2,391343.6,397237,397237
"Whitehorse, Yukon",19519,19519,19446.6,19374.2,19301.8,19229.4,19157,19137.2,19117.4,19097.6,19077.8,19058,19338.6,19619.2,19899.8,20180.4,20461,21024,21587,22150,22713,23276,23638,24000,24362,24724,25086,26451.4,27816.8,29182.2,30547.6,31913,31913
"Yellowknife, Northwest Territories",16229,16229,16438.2,16647.4,16856.6,17065.8,17275,17128.2,16981.4,16834.6,16687.8,16541,16972.8,17404.6,17836.4,18268.2,18700,18806.8,18913.6,19020.4,19127.2,19234,19301,19368,19435,19502,19569,19723.2,19877.4,20031.6,20185.8,20340,20340
